measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1990,16447558.2443,25590386.0476,9960074.6427
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Syphilis,Number,1990,14613813.1115,23754995.2034,8274974.93204
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chlamydial infection,Number,1990,425215.021168,639006.404535,287511.763533
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Gonococcal infection,Number,1990,464970.678749,629957.970987,334809.827213
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichomoniasis,Number,1990,125696.185309,265445.072883,48305.7467843
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Genital herpes,Number,1990,132751.695193,302177.10253,42947.4788966
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other sexually transmitted diseases,Number,1990,685111.552315,964900.265185,474270.096691
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1990,9017207.39267,9723896.28197,8255126.75296
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis A,Number,1990,1271938.59142,1540646.54531,1017088.98499
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis B,Number,1990,4656456.14584,5096895.88453,4209077.60533
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis C,Number,1990,88374.2395948,107845.340619,71967.071728
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Visceral leishmaniasis,Number,1990,2406131.2,4080747.61152,1350506.55921
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cutaneous and mucocutaneous leishmaniasis,Number,1990,125345.195127,217222.531299,67661.029293
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1990,1046807.95909,1711524.61851,559113.715937
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1990,2096796.52451,3410075.39528,1340223.46541
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1990,489041.918697,621439.820905,363432.315901
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1990,326776.498382,449152.878973,237405.100763
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1990,1595715.17666,2983467.61247,733402.465522
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1990,1420364.89617,2254933.6416,776985.30178
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1990,231129.653038,324265.371595,156918.085506
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1990,822828.873108,1364033.40443,308153.535149
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1990,784526.123745,2314589.76834,170567.952006
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1990,2979380.4383,4076410.59021,1867413.74604
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1990,7460869.822,11583951.8071,4726561.85352
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ascariasis,Number,1990,4634704.05435,7119926.65675,2996878.20767
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichuriasis,Number,1990,671369.168966,1142903.06881,364874.230147
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hookworm disease,Number,1990,2154796.59868,3371069.27074,1278716.42665
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Number,1990,1424989.19813,2937699.46577,591708.285837
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Number,1990,3311149.47826,4421630.282,2409699.35915
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS and tuberculosis,Number,1990,84184494.7052,89558034.1438,79728577.483
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,1990,68029714.1363,73066263.7141,64153366.3126
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,1990,16154780.5689,18106447.0899,14497127.0936
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS resulting in other diseases,Number,1990,11460286.3644,13435618.5235,9938856.96263
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,"Diarrhea, lower respiratory, and other common infectious diseases",Number,1990,557387994.189,600325387.651,522551683.879
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Number,1990,175168624.76,201351267.46,150592623.989
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Number,1990,15662614.7384,25360401.9905,8797345.35958
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Typhoid fever,Number,1990,13362828.8098,22248346.118,7235859.05944
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Paratyphoid fever,Number,1990,1867267.2512,3711113.23046,850192.674582
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other intestinal infectious diseases,Number,1990,432518.677446,1290815.50895,107147.401829
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Number,1990,202365488.177,220607594.079,182794367.595
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Number,1990,4868618.76358,7444877.38324,3012768.14659
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Number,1990,3111665.34464,4484988.06255,2057172.41548
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Number,1990,30239302.0867,34552629.5431,23939283.9434
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Pneumococcal meningitis,Number,1990,2187486.50721,2576029.86842,1808227.74657
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,H influenzae type B meningitis,Number,1990,3330286.66722,3982212.83786,2606173.64071
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningococcal meningitis,Number,1990,14191037.943,16492062.4035,11094089.2231
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other meningitis,Number,1990,10530490.9693,12434218.3415,8030599.22323
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Number,1990,7918366.63344,10751175.7633,5206944.13392
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Number,1990,842727.298825,1167154.37593,611338.552205
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Number,1990,14651201.4396,28290150.323,6598013.9936
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Number,1990,24893619.7136,33445818.6833,14235302.5654
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Number,1990,76350833.5781,147358859.984,31267608.3472
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Number,1990,1314931.65549,1509639.55106,1138740.20864
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neglected tropical diseases and malaria,Number,1990,87294752.3502,103455679.86,71756373.2824
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Number,1990,60389328.6233,74912457.1651,46548151.9933
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Number,1990,309815.642919,334826.64474,286332.770113
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Number,1990,2531476.39512,4202997.63025,1470226.33945
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis E,Number,1990,3000438.41582,3449076.98956,2479678.53058
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1990,23029.7282899,32328.4755761,15530.6206301
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1990,7066898.40715,9252242.84298,4327975.95242
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1991,16519925.4313,24447925.1275,10275079.775
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Syphilis,Number,1991,14655255.5674,22843018.9047,8463021.27987
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chlamydial infection,Number,1991,433202.93979,661429.639551,271302.35995
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Gonococcal infection,Number,1991,470725.614513,609448.44227,349876.871886
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichomoniasis,Number,1991,127936.000485,273341.221591,48908.1799023
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Visceral leishmaniasis,Number,1992,2399033.37745,3750186.53911,1435876.02656
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cutaneous and mucocutaneous leishmaniasis,Number,1992,136504.365756,220327.745965,75748.9910127
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1992,1086691.15104,1650599.26101,580428.064813
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1992,2138891.3853,3448178.74575,1359873.55282
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1992,506909.552654,634671.429603,383884.795994
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1992,303795.378631,375107.369099,234697.139079
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1992,1665590.07424,3061012.61731,743404.678882
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1992,1409209.87767,2227958.75577,782453.10584
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1992,234101.45459,305382.488292,158003.874381
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1992,915163.314764,1419543.54501,309914.751076
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1992,533390.207693,1478617.7926,124670.837971
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1992,2824119.11286,3669509.13827,1936082.43128
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1992,6372691.75987,9784771.67526,4159486.88343
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS and tuberculosis,Number,1991,88072680.7913,93449695.9607,84286584.0466
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,1991,67293246.0768,72092637.9311,63633754.6531
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,1991,20775269.6706,23418716.9269,18901433.4679
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS resulting in other diseases,Number,1991,14933514.167,17570598.5967,12928191.8738
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,"Diarrhea, lower respiratory, and other common infectious diseases",Number,1991,542872945.115,580211154.75,509711649.976
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Number,1991,171548301.646,200802229.303,148229220.4
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Number,1991,15630892.6523,25633538.6865,8621720.42458
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Typhoid fever,Number,1991,13336177.4647,21963857.3473,7246228.19581
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Paratyphoid fever,Number,1991,1882438.93,3741116.28373,879982.936586
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other intestinal infectious diseases,Number,1991,409974.608116,1361026.78618,110377.42761
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Number,1991,197538958.368,214291839.121,179853635.186
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Number,1991,4913859.86701,7343574.5519,3132691.12127
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Number,1991,3132659.90693,4645882.9123,2078385.5793
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Number,1991,29996231.7184,34537305.2446,24084626.4012
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Pneumococcal meningitis,Number,1991,2179291.97313,2616148.24404,1845379.48193
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,H influenzae type B meningitis,Number,1991,3306094.82628,3914361.15937,2671030.57898
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningococcal meningitis,Number,1991,14056370.2907,16154800.7479,11508565.579
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ascariasis,Number,1992,3775289.6443,5652142.01294,2580105.19855
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichuriasis,Number,1992,588588.846208,992481.7572,316184.632468
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hookworm disease,Number,1992,2008813.26936,3096314.8898,1247775.18424
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Number,1992,1399745.26559,2631158.15702,655772.723705
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Number,1992,3314455.25139,4454692.89736,2598136.67517
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other meningitis,Number,1991,10449988.7063,12365072.2315,8038266.72974
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Number,1991,7952739.67889,10429250.2483,5488748.7854
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Number,1991,772947.108321,1069595.78662,545244.700412
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Number,1991,13998941.9304,25837422.1585,6901980.71283
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Number,1991,22459726.7887,28387162.0157,13184630.7214
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Number,1991,73459679.8813,142856021.104,30274378.3198
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Number,1991,1303868.30235,1488923.66985,1141288.8916
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neglected tropical diseases and malaria,Number,1991,88297169.9553,100222603.07,72760907.4719
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Number,1991,62179193.8454,74060950.1872,49480437.2137
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Number,1991,302947.669966,325495.217132,279844.612984
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Number,1991,2664240.59404,4053132.32853,1628299.54064
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible tuberculosis,Number,1990,67560512.8309,72611555.8838,63730458.6734
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,1990,50725.4004987,69196.9904351,35265.3386094
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1990,469201.305419,578801.741904,378318.790509
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible HIV/AIDS - Tuberculosis,Number,1990,4668543.68763,5760160.37391,3624367.48405
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance,Number,1990,25950.5168076,40573.8456937,15997.8836462
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant HIV/AIDS - Tuberculosis,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Latent tuberculosis infection,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Genital herpes,Number,1991,135072.369548,286772.427009,47611.8120757
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other sexually transmitted diseases,Number,1991,697732.93953,989184.703568,468660.910503
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1991,8988292.59677,9643828.84959,8216606.95384
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis A,Number,1991,1252499.35887,1500568.03304,989487.326413
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis B,Number,1991,4671615.86094,5028046.27252,4312283.11325
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis C,Number,1991,89766.5126328,107583.557959,73992.5354316
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis E,Number,1991,2973627.09117,3457467.85964,2547013.77653
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1991,23553.9307125,33630.2252549,15832.8206098
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1991,6983740.76851,9175332.0076,4235747.97847
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,1991,0.0,0.0,0.0
