Disease,uri,Alternate Identification,Classification,Reason,WHO Blueprint Priority Diseases,Mentioned on WHO page,Select Agents (HHS),Promed Top 100,"OIE ""Multiple Species Diseases""",CEPI Priority Diseases,Notes ,In Promed corpus/disease ontology?
Disease X (yet unknown disease),,Unknown,,,WHO Blueprint Priority Diseases,,,Promed Top 100,,,"equating this to promed ""unknown""",
Abrin,,,Low or Medium (potential terrorism?),"Not person to person, but is highly toxic (more potent than ricin). Treatment is supportive and mortality is dependant on mode of exposure  (inhalation, ingestion, injection) and dose, but death could occur within 36-72 hours. Naturally found in seeds of rosary pea plant found in tropical places and sometimes used in herbal remedies or beaded jewelry. ",,,Select Agents (HHS),,,,Could be used for bioterrorism. Not known to be used in any war or terrorist acts to date (to date). Most documented cases have involved accidental or intentional ingestion of seeds.,
African Horse Sickness,,,Exclusion,"Animal disease, no spillover effect known",,,,Promed Top 100,,,"Potential for serious and rapid spread, often fatal disease of equids, transmitted by biting midges.",
African Swine Fever,,,Exclusion,"Animal disease, no spillover effect known",,,,Promed Top 100,,,,
Algae,,,Low,"Not person to person, treatment is to manage symptoms which range from mild to severe (muscle paralysis, respiratroy distress) depending on type of toxin. Without access to proper medical management could include death.  Concern for a large number of people (fish/shellfish consumers), potentially requiring need for notifications and quick bed shutdowns. ",,,,Promed Top 100,,,"Harmful Algal Blooms (HABs) exposure can be through direct contact with contaminated body of water, ingestion of water or fish/shellfish in the water, or inhalation of tiny water droplets, mist or sea spray from a contaminated body of water. No HAB-associated human deaths in the U.S to date, many pet deaths however after swimming or drinking contminated water. Others include Ciguatera Fish Poisoning, Neurotoxic shellfish poisoning, Paralytic Shellfish poisoning and are transmitted to humans through consumption of contaminated fish/shellfish.",
Antibiotic resistance,,,Medium ,"AR bacteria (TB not included here) can be transmitted person to person, with greater risk of transmission through close contact and sharing of bathrooms. Mortality is dependent on multiple host factors (co-morbidities, immune system etc.) and type of resistance (effective therapy choices).",,,,Promed Top 100,,,,
Avian Influenza,http://purl.obolibrary.org/obo/DOID_4492,,High,"Most infections follow direct or close contact with infected poultry. Rare cases of human infection and human to human transmission, however possibility of Avian influenza A virus mutations makes it extremely important to monitor. ",,,,Promed Top 100,,,specific influenza in select agents list,
Anthrax,http://purl.obolibrary.org/obo/DOID_7427,"Bacillus anthracis, Bacillus anthracis Pasteur strain ",Very High (potential terrorism?),Rare person to person transmission reported (in cutaneous anthrax). Illness can be severe and cause death; quick medical care give best chance of full recovery. There is a vaccine recommended in certain at-risk adults. Has been used for bioterrorism and possesses potential for mass casualties and devestating effect.,,,Select Agents (HHS & USDA),Promed Top 100,OIE,,Inhalation anthrax is most serious form and needs to be treated immediately.,
Bacillus cereus Biovar anthracis,,,Low  ,"Causes diarrheal and emetic foodborne illnesses, symptoms are typically mild or self-limiting. Can cause large food outbreaks. ",,,Select Agents (HHS),,,,"this is ""anthrax-like""",
Bluetongue,,,Exclusion,"Animal disease, no spillover effect known",,,,Promed Top 100,OIE,,Hosts include domestic and wild ruminants (mortality in sheep can reach 100%); midges are only significant natural transmitters.,
